OTU.ID	taxa
8073	Bacteria
8086	Bacteria
8091	Bacteria
8098	Bacteria
8099	Bacteria
8103	Bacteria
8123	Bacteria
8132	Bacteria
8139	Bacteria
8141	Bacteria
8147	Bacteria
8148	Bacteria
8168	Bacteria
8169	Bacteria
8174	Bacteria
8181	Bacteria
8185	Bacteria
8196	Bacteria
8197	Bacteria
8207	Bacteria
8209	Bacteria
8211	Bacteria
8213	Bacteria
8221	Bacteria
8226	Bacteria
8229	Bacteria
8235	Bacteria
8239	Bacteria
8245	Bacteria
8247	Bacteria
8257	Bacteria
8288	Bacteria
8293	Bacteria
8295	Bacteria
8299	Bacteria
8303	Bacteria
8306	Bacteria
8311	Bacteria
8316	Bacteria
8321	Bacteria
8325	Bacteria
8340	Bacteria
8341	Bacteria
8342	Bacteria
8344	Bacteria
8358	Bacteria
8368	Bacteria
8377	Bacteria
8391	Bacteria
8394	Bacteria
8401	Bacteria
8403	Bacteria
8407	Bacteria
8413	Bacteria
8414	Bacteria
8425	Bacteria
8430	Bacteria
8431	Bacteria
8433	Bacteria
8436	Bacteria
8458	Bacteria
8460	Bacteria
8464	Bacteria
8465	Bacteria
8475	Bacteria
8477	Bacteria
8484	Bacteria
8488	Bacteria
8490	Bacteria
8493	Bacteria
8496	Bacteria
8497	Bacteria
8536	Bacteria
8537	Bacteria
8548	Bacteria
8557	Bacteria
8558	Bacteria
8566	Bacteria
8576	Bacteria
8581	Bacteria
8586	Bacteria
8593	Bacteria
8599	Bacteria
8610	Bacteria
8613	Bacteria
8614	Bacteria
8616	Bacteria
8619	Bacteria
8623	Bacteria
8627	Bacteria
8628	Bacteria
8649	Bacteria
8654	Bacteria
8656	Bacteria
8662	Bacteria
8664	Bacteria
8675	Bacteria
8676	Bacteria
8697	Bacteria
8702	Bacteria
8710	Bacteria
8715	Bacteria
8722	Bacteria
8724	Bacteria
8725	Bacteria
8731	Bacteria
8740	Bacteria
8742	Bacteria
8744	Bacteria
8745	Bacteria
8749	Bacteria
8753	Bacteria
8766	Bacteria
8767	Bacteria
8769	Bacteria
8770	Bacteria
8775	Bacteria
8785	Bacteria
8791	Bacteria
8792	Bacteria
8794	Bacteria
8795	Bacteria
8799	Bacteria
8822	Bacteria
8825	Bacteria
8831	Bacteria
8833	Bacteria
8834	Bacteria
8842	Bacteria
8851	Bacteria
8855	Bacteria
8856	Bacteria
8878	Bacteria
8883	Bacteria
8889	Bacteria
8899	Bacteria
8901	Bacteria
8903	Bacteria
8910	Bacteria
8927	Bacteria
8963	Bacteria
8982	Bacteria
8988	Bacteria
8991	Bacteria
8997	Bacteria
9007	Bacteria
9016	Bacteria
9017	Bacteria
9020	Bacteria
9026	Bacteria
9030	Bacteria
9047	Bacteria
9048	Bacteria
9049	Bacteria
9051	Bacteria
9052	Bacteria
9056	Bacteria
9061	Bacteria
9074	Bacteria
9077	Bacteria
9080	Bacteria
9081	Bacteria
9084	Bacteria
9086	Bacteria
9103	Bacteria
9118	Bacteria
9123	Bacteria
9126	Bacteria
9128	Bacteria
9130	Bacteria
9132	Bacteria
9138	Bacteria
9148	Bacteria
9154	Bacteria
9159	Bacteria
9163	Bacteria
9168	Bacteria
9169	Bacteria
9174	Bacteria
9180	Bacteria
9192	Bacteria
9193	Bacteria
9197	Bacteria
9206	Bacteria
9217	Bacteria
9219	Bacteria
9221	Bacteria
9229	Bacteria
9237	Bacteria
9249	Bacteria
9255	Bacteria
9262	Bacteria
9276	Bacteria
9278	Bacteria
9294	Bacteria
9305	Bacteria
9328	Bacteria
9352	Bacteria
9366	Bacteria
9379	Bacteria
9380	Bacteria
9382	Bacteria
9390	Bacteria
9395	Bacteria
9398	Bacteria
9401	Bacteria
9407	Bacteria
9410	Bacteria
9434	Bacteria
9438	Bacteria
9439	Bacteria
9442	Bacteria
9444	Bacteria
9445	Bacteria
9464	Bacteria
9477	Bacteria
9484	Bacteria
9502	Bacteria
9505	Bacteria
9506	Bacteria
